FINISH CODE,FINISH NAME
0,WHITE
6,SKYLIGHT
7,BLACK BLACK
20,SUEDE
33,MEXICAN SAND 
45,WILD ROSE 
47,ALMOND
52,NAVY
52,NAVY
55,INNOCENT BLUSH
58,THUNDER GREY
71,SEAFOAM GREEN
BS,Brushed Stainless
95,ICE GREY
96,BISCUIT
97,TIMBERLINE
896,VEINCUT BISCUIT W/ BISCUIT ACCENTS
1WA,LINEN WHITE
1WB,CLARET SUEDE
1WC,FELT GREY
1WD,RAMIE WALNUT
1WE,TERRY WALNUT
1WF,KHAKI WHITE OAK
1WG,CHERRRY TWEED
1WH,WOOLEN OAK
1WJ,JERSEY OAK
1WK,SATIN OAK
1WL,LAURENTII SILK
1WM,WALNUT FLAX
1WN,CORDUROY TEAK
1WP,EBONY VELOUR
1WT,MOHAIR GREY
1WU,BATISTE BLACK
2BZ,OIL-RUBBED BRONZE
7NY,VEINCUT DUNE W/DUNE ACCENTS
9G9,VEINCUT SANDBAR W/SANDBAR ACCENTS
ABV,CRYSTAL CLEAR GLASS W/ANODIZED BRUSHD BRONZE FRAME
ABZ,CRYSTAL CLEAR GLASS W/ANODIZED DARK BRONZE FRAME 
AF,VIBRANT FRENCH GOLD
AU,POLISHED GOLD
B10,STORM
B11,ICE
BGD,VIBRANT MODERNE BRUSHED GOLD
BH,CRYSTAL CLEAR GLASS W/ BRIGHT BRASS FRAME
BKB,BRUSHED BLACK
BL,MATTE BLACK
BN,VIBRANT BRUSHED NICKEL
BRZ,OIL-RUBBED BRONZE
BV,VIBRANT BRUSHED BRONZE
BX,VIBRANT BRAZEN BRONZE 
CHR,CHARCOAL
CP,POLISHED CHROME
CS6,BIANCONE
CS7,GREY FOUSSANA
F69,WOODLAND
FD,CANE SUGAR 
FE,FROST
FF,SEA SALT
FP,CAVIAR
FT,BASALT
G,BRUSHED CHROME
G81,WHITE IMPRESSIONS
G82,DUNE IMPRESSIONS
G83,BISCUIT IMPRESSIONS
G85,SANDBAR IMPRESSIONS
G86,CASHMERE IMPRESSIONS
G88,THUNDER GREY IMPRESSIONS
G9,SANDBAR
HF1,CHROME
HF2,BRUSHED
HF3,BLACK
HW1,HONED WHITE
K4,CASHMERE
K40,CINDER
K5,EVENWEAVE
K8,TRANSLUCENT WHITE
KA,BLACK N TAN
KB,BLACK IRON
KC,VAPOUR BLUE
KE,VAPOUR ORANGE
KF,VAPOUR PINK
KG,VAPOUR GREEN
MX,CRYSTAL CLEAR W/ MATTE NICKEL FRAME
NG,TEA GREEN
NY,DUNE
PB,VIBRANT POLISHED BRASS
PGD,VIBRANT MODERNE POLISHED GOLD
RB2,BOURBON RUTILE
RB3,BLUESTONE RUTILE
RGD,VIBRANT ROSE GOLD 
RR,EMBER
S,POLISHED STAINLESS
S3,STONEWARE
S33,WHITE EXPRESSIONS
S34,ALMOND EXPRESSIONS
S35,BISCUIT EXPRESSIONS
S36,ICE GREY EXPRESSIONS
S4,WHITE CLIFFS
SHP,CRYSTAL CLEAR GLASS W/ BRIGHT POLISHED SILVER FRAME
SN,VIBRANT POLISHED NICKEL
ST,STAINLESS STEEL
TB,SATIN BLACK
TG1,TRANSLUCENT DUSK
TG2,TRANSLUCENT DEW
TG3,TRANSLUCENT DOE
TG6,TRANSLUCENT SAPPHIRE
TG7,TRANSLUCENT SANDALWOOD
TG8,TRANSLUCENT STONE
TT,VIBRANT TITANIUM
V2,CREAM CITY
VNT,VINTAGE NICKEL
VS,BIBRANT STAINLESS
W07,VEINCUT DUNE
W08,VEINCUT BISCUIT
W09,VEINCUT SANDBAR
W10,CROSSCUT DUNE
W11,CROSSCUT BISCUIT
Y2,SUNLIGHT
NX,Crystal Clear glass with Brushed Nickel frame
F25,Sapele
F44,Lily
F45,Saddle
F69,Woodland
F80,Cocoa
HB1,Honed Black
K3,Citron
K2,Grey FLANNEL
WH,White
NM,NERO MARQUINA MARBLE
W2,EVENWEAVE-EARTHEN WHITE
F40, Cinder
K7, GILDED MEADOW - PLATINUM
TF, TUMBLED BRONZE
MP1, MEDIUM PATINA
BNK, ANODIZED BRUSHED NICKEL
F39, Oxford
F41, Westwood
