"school_id","school_name","school_city","school_state","created_at","updated_at","league_id","school_address","school_contact","school_phone","school_fax","school_zip","school_email","billing_name","billing_address","billing_address2","billing_city","billing_state","billing_zip","billing_purchase_order","old_school_id"
4467,"Fort Caspar Academy","Casper","WY","2015-05-07 15:12:00","2015-05-07 15:12:00",2,"2000 Casper St.",0,"(307) 577-4531","(807) 577-4534",82604,"","Natrona CSD#1","970 N Glenn Rd","","Casper","WY",82601,193375,3800
5392,"St Vincent de Paul Parish School","Wheeling","WV","2015-05-07 15:12:06","2015-05-07 15:12:06",1,"127 Key Ave",0,"304.242.5844","",26003,"bgrasser@stvincentschool.org","Barbie Porter","2244 Marshall Ave","","Wheeling","WV",26003,"20131030SM",4926
4967,"Musselman Middle School","Bunker Hill","WV","2015-05-07 15:12:03","2015-05-07 15:12:03",2,"105 Pride Ave.",0,"(304) 229-1965","(304) 229-1967",25413,"","","","","","","","304-8432",3972
6019,"Wheeling Catholic Elementary","Wheeling","WV","2015-05-07 15:12:10","2015-05-07 15:12:10",1,"77 14th Street",0,"(304) 233-1515","(304) 233-1516",26003,"tracieseivertson@yahoo.com","Wheeling Catholic Elem Sc","77 14th Street","","Wheeling","WV",26003,"",4008
4263,"Charleston Catholic","Charleston","WV","2015-05-07 15:11:59","2015-05-07 15:11:59",1,"1033 Virginia Street",0,"Dorothy Pile","304-342-8415","304-342-1259",25301,"piledot@yahoo.com","Charleston Catholic","","1033 Virginia Street","East","Charleston","WV",25301
6317,"Charleston Catholic","Charleston","WV","2015-10-26 17:46:53","2015-11-06 14:17:33",1,"1033 Virginia Street",0,"Dorothy Pile","304-342-8415","304-342-1259",25301,"piledot@yahoo.com","Charleston Catholic High School","","1033 Virginia Street","East","Charleston","WV",25301
6331,"Notre Dame High School","Clarksburg","WV","2015-10-28 16:12:42","2015-10-28 16:12:42",1,"127 East Pike Street",0,"304-623-1026","",26301,"sguido@notredamewv.org","Notre Dame High School","127 East Pike Street","","Clarksburg","WV",26301,2010,""
6337,"St. Joseph Grade School","Huntington","WV","2015-10-29 18:52:08","2015-10-29 18:52:08",1,"1326 6th Avenue",0,"304-522-2644","304-522-2512",25701,"snichols@stjosephgs.org","","","","","","","SJ0345",""
5832,"St. Vincent DePaul School","Wheeling","WV","2015-05-07 15:12:09","2015-05-07 15:12:09",1,"127 Key Ave.",0,"304-242-5844","",26003,"bgrasser@stvincentschool.org","","","","","","","",4956
5068,"Our Lady of Fatima","Huntington","WV","2015-05-07 15:12:04","2015-05-07 15:12:04",1,"535 Norway Ave.",0,"(304) 523-2861","(304) 525-0390",25705,"","","","","","","","",2395
5381,"Spring Road School","Neenah","WI","2015-05-07 15:12:06","2015-05-07 15:12:06",2,"1191 County Rd. 11",0,"(920) 751-6975","(920) 751-6911",54956,"","","","","","","","",3339
