school_id,billing_address,billing_address2,billing_city,billing_state,billing_zip
4041,,,,,
4042,146 S. Granite St.,,Prescott,AZ,86303
4043,220 Jefferson Ave,,Cresskill,NJ,7626
4044,,,,,
4045,,,,,
4046,,,,,
4047,11321 Bullis Rd.,,Lynwood,CA,90262
4048,768 S Maple,,Avoca,IA,51521
4049,,,,,
4050,2501 W 5th Ave.,,Brodhead,WI,53520
4051,,,,,
4052,,,,,
4053,25631 Peter A. Hartman Way,,Mission Viejo,CA,92691
4054,,,,,
4055,,,,,
4056,,,,,
4057,,,,,
4058,,,,,
4059,,,,,
4060,,,,,
4061,,,,,
4062,810 S. Oak Avenue,,Sanford,FL,32771
4063,,,,,
4064,,,,,
4065,,,,,
4066,,,,,
4067,,,,,
4068,17500 Church St. PO Box 278,,Alva,FL,33920
4069,,,,,
4070,PO Box 490,,Birdsboro,PA,19508
4071,25 Newton Rd.,,Woodbridge,CT,6525
4072,100 Ohman Avenue,,Orange,CT,6477
4073,,,,,
4074,300 Garfield St. SW,,Bondurant,IA,50035
4075,Andrews Elementary,13072 County Line Rd,Andrews,SC,
4076,13072 County Line Road,,Andrews,SC,29510
4077,2315 A&M Avenue,,San Angelo,TX,76904
4078,130 Beattie Ave.,,Lockport,NY,14094-5099
4079,,,,,
4080,600 E. Canal St. PO Box 279,,Ansonia,OH,45303-0279
4081,,,,,
4082,,,,,
4083,,,,,
4084,,,,,
4085,1348 Griffin Mill Rd.,,Easley,SC,29640
4086,244 W. Harrison Blvd.,,Aransas Pass,TX,78336
4087,10300 SW 167th Ave.,,Miami,FL,33196
4088,1 Holy Cross Blvd,,Akron,OH,44306
4089,1 Holy Cross Blvd.,,Akron,OH,44306
4090,1 Holy Cross Blvd.,,Akron,OH,44306
4091,,,,,
4092,,,,,
4093,,,,,
4094,,,,,
4095,PO Box 1259 522 W. Hamlet Ave.,,Hamlet,NC,28345
4096,,,,,
4097,,,,,
4098,,,,,
4099,,,,,
4100,2345 Greyhound Dr.,,Augusta,KS,67010
4101,,,,,
4102,,,,,
4103,1701 North 9th Ave.,,Virginia,MN,55792-2172
4104,234,,bafatvictoryacademy@ymail.com,,
4105,,,,,
4106,,,,,
4107,,,,,
4108,750 S. Eagle Valley Rd.,,Wingate,PA,16823-4740
4109,101 Second Ave.,,Baraboo,WI,53913-2494
4110,,,,,
4111,,,,,
4112,355 East Chicago St.,,Elgin,IL,60120
4113,701 Schick Rd,Bartlett,,IL,60103
4114,,,,,
4115,,,,,
4116,1901 egroodt Rd,,Palm Bay,FL,32908
4117,PO Box 30,,Baytown,TX,77522
4118,,,,,
4119,PO Box 159,,Katy,TX,77492-0159
4120,1325 9th St SE,,Dyersville,IA,52040
4121,,,,,
4122,,,,,
4123,30205 Menifee Rd.,,Menifee,CA,92584
4124,,,,,
4125,N84 W16579 Menomonee Ave.,,Menomonee Falls,WI,53051
4126,840 North Broad Street,,Elizabeth,NJ,7208
4127,6502 Seawright Drive,,Savannah,GA,31406
4128,,,,,
4129,,,,,
4130,204 N. Cox St..,attn. Karen Greer,Benton,AR,72015
4131,,,,,
4132,450 9th Ave.,,Granite Falls,MN,56241
4133,6491 NW Connery Terrace,,Portland,OR,97229
4134,348 S. Cassingham Rd.,,Columbus,OH,43209-1897
4135,,,,,
4136,,,,,
4137,,,,,
4138,32000 Campbell Rd,,Madison Heights,MI,48071
4139,,,,,
4140,,,,,
4141,2202 60th Street,,Brooklyn,NY,11204
4142,,,,,
4143,9750 Ferguson Road,,Dallas,TX,75228
4144,,,,,
4145,,,,,
4146,,,,,
4147,,,,,
4148,,,,,
4149,,,,,
4150,1018 Grandview,,Sioux City,IA,51105
4151,3516 Turner Lane,,Chevy Chase,MD,20815
4152,,,,,
4153,,,,,
4154,,,,,
4155,,,,,
4156,521 S. 13th Street,,LaCrosse,WI,54601
4157,,,,,
4158,,,,,
4159,,,,,
4160,,,,,
4161,,,,,
4162,120 Lowery Place SE,,Ft. Walton Beach,FL,32548
4163,244 W. Harrison Blvd.,,Aransas Pass,TX,78336
4164,,,,,
4165,,,,,
4166,650 Hughes Road,,Madison,AL,35758
4167,PO Box 8,,Lumberton,NJ,8048
4168,2 Henry C Luthin Place  Attn. R. Hanik,,Bogota,NJ,7603
4169,,,,,
4170,,,,,
4171,,,,,
4172,1008 N. Hena St.,,Greenville,IL,62246
4173,400 Garfield SW,,Bondurant,IA,50035
4174,300 Garfield SW,,Bondurant,IA,50035
4175,,,,,
4176,318 Ward Avenue,,Bordentown,NJ,8505
4177,PO Box 512,,Fowler,IN,47944
4178,PO Box 128,,Moncks Corner,SC,29461
4179,,,,,
4180,,,,,
4181,,,,,
4183,975 Robinson Road,Peachtree City,,GA,30269
4184,3051 Ira E. Woods Ave.,,Grapevine,TX,76051-3897
4185,959 Beach Rd.,,Angola,NY,14006
4186,,,,,
4187,,,,,
4188,,,,,
4189,301 E Evans Blvd.  PO Box 947,1061,Brigantine,NJ,
4190,,,,,
4191,,,,,
4192,,,,,
4193,,,,,
4194,601 Second St.,,McFarland,CA,93250
4195,3643 Center Rd.,,Brunswick,OH,44212
4196,,,,,
4197,,,,,
4198,,,,,
4199,,,,,
4200,,,,,
4201,1619 Eleventh Ave.,,Moline,IL,61265-3198
4202,PO Box 1018,,Ft. Valley,GA,31030
4203,,,,,
4204,,,,,
4205,,,,,
4206,6111 Fairdale Rd.,,Cambridge,OH,43725-8865
4207,114 W. Sheboygan St.,,Campbellsport,WI,53010
4208,,,,,
4209,,,,,
4210,,,,,
4211,775 Waldo Rd.,Campbell,Campbell,CA,95008
4212,,,,,
4213,1601 W Mt Harmony Rd,,Owings,MD,20736
4214,,,,,
4215,,,,,
4216,,,Carlisle,OH,45005
4217,,,,,
4218,9340 Baseline Rd.,,Alta Loma,CA,91701
4219,102 N. 5th St.,,Carrizo Springs,TX,78834
4220,,,,,
4221,,,,,
4222,,,,,
4223,599 Roosevelt Ave.,,Carteret,NJ,7008
4224,2520 12th Ave. East,,North St. Paul,MN,55109
4225,,,,,
4226,,,,,
4227,PO Box 279,,Farley,IA,52046
4228,,,,,
4229,,,,,
4230,5606 South 147th St,,Omaha,NE,68137
4231,,,,,
4232,1200 East High St,,Springfield,OH,45505
4233,,,,,
4234,,,,,
4235,,,,,
4236,,,,,
4237,,,,,
4238,2800 edison highway,baltimore,baltimore,MD,21213
4239,1720 Ave. K PO Box 129,,Eunice,NM,88231-0129
4240,PO Box 549,,Ithaca,NY,14851
4241,,,,,
4242,200 Western Blvd.,,Lanoka Harbor,NJ,8734
4243,12420 Lincoln Lake Ave. NE,,Greenville,MI,48838
4244,,,,,
4245,14445 Diamond Path,,Rosemount,MN,55068-4199
4246,5776 S. Crocker St.,,Littleton,CO,80120-2094
4247,,,,,
4248,,,,,
4249,,,,,
4250,,,,,
4251,6611 West 171st St.,,Tinley Park,IL,60477
4252,1145 Saguare Common,,Fremont,CA,94539
4253,PO Box 1256,,Huntsville,AL,35807
4254,536 Hamilton St.,,Roanoke Rapids,NC,27870-9990
4255,3688 Chamblee-Dunwoody Rd.,,Chamblee,GA,30341
4256,,,Decatur,GA,30032-1099
4257,,,,,
4258,130 Beattie Ave.,,Lockport,NY,14094-5099
4259,,,,,
4260,,,,,
4261,740 Unionville Rd.,,Kennett Square,PA,19348-1531
4262,PO Box 1010,,Newton,NC,28658
4263,Charleston Catholic,,1033 Virginia Street,East,Charleston
4264,244 W. Harrison Blvd.,,Aransas Pass,TX,78336
4265,,,,,
4266,,,,,
4267,1419 Cedarwood Court,,Charlottesville,VA,22903
4268,Chattanooga Christian School,3354 Charger Drive,Chattanooga,TN,37409
4269,,,,,
4270,,,,,
4271,111 East North St.,,Eureka,MO,63025-1229
4272,,,,,
4273,2125 S. 11th Street,,Chesterton,IN,46304
4274,,,,,
4275,,,,,
4276,530 W. Main St.,,Chilton,WI,53014
4277,,,,,
4278,,,,,
4279,,,,,
4280,,,,,
4281,1183 Russell Drive,Mt. Pleasant,Mt. Pleasant,SC,29464
4282,,,,,
4283,46 Peachtree Way,,Atlanta,GA,30305
4284,1122 Long Avenue,,Richland,WA,
4285,,4764,,,
4286,,,,,
4287,,,,,
4288,,,,,
4289,,,,,
4290,31155 State Hwy 225,,Spanish Fort,AL,36527
4291,Christ the King Catholic School,3401 Tidewater Drive,Norfolk,VA,23509
4292,,,,,
4293,164 Hopkins Ave,,Haddonfield,NJ,8033
4294,,,,,
4295,,,,,
4296,,,Nashville,TN,37212
4297,3105 Belmont Blvd,,Nashville,TN,37212
4298,831 S. 88th St.,,Omaha,NE,68114
4299,831 S. 88th St.,,Omaha,NE,68114
4300,,,,,
4301,,,,,
