school_id,school_name,league_id,school_contact,school_phone,school_fax,school_email,billing_name,old_school_id
4041,93rd Street School,2,0,(323) 754-2869,(323) 756-8345,lnh3456@lausd.net,,4124
4042,Abia Judd,2,0,928-717-3263,928-717-3262,louise.clark@prescottschools.com,Louise Clark-New Horizons,4288
4043,Academy of St.Therese,1,0,201-568-4296,(201) 568-3179,atyburska@academyofsttherese.com,Alicja Tyburska,4980
4044,Academy of the Holy Angels,1,0,(201) 768-7822,(201) 768-6933,jdepalma@holyangels.org,,940
4045,Academy of the Holy Cross,1,0,(301) 942-2100,(301) 929-6440,,,4215
4046,Adams Elementary,2,0,(402) 572-9072,(402) 572-9075,,,3826
4047,Agnes School,2,0,(310) 603-1401,(310) 603-2015,,Lynwood USD,3491
4048,AHST Elementary,2,0,712-343-6364,712-343-2170,hansens@ahst.k12.ia.us,AHST Elementary,4615
4049,Albert Leonard Middle School,2,0,(914) 576-4339,(914) 576-4784,lpierce@ric.lhric.org,,1531
4050,Albrecht Elementary School,2,0,(608) 897-2146,(608) 897-2212,,Brodhead SD,2932
4051,Albuquerque High School,2,0,(505) 843-6400,(505) 848-8932,,,3382
4052,Aldersgate Christian Academy,2,0,(513) 721-7944,(513) 721-1357,,,3960
4053,Aliso Elementary School,2,0,(949) 830-4670,(949) 859-2071,brownli@svusd.k12.ca.us,Saddleback Valley USD,3957
4054,All Hallows High School,1,0,(718) 293-4545,,jcasey@allhallows.org,,2648
4055,All Saints Academy,1,0,,,,,3626
4056,All Saints Catholic School,1,0,574-753-3410,574-753-1608,mbarker@allsaintslogansport.com,,4953
4057,All Saints Catholic School,1,0,(203) 847-3881,(203) 847-8055,,,3340
4058,All Saints Catholic School,1,0,(954) 742-4842,(954) 741-7238,,,3592
4059,All Saints Catholic School,1,0,(715) 623-4835,(715) 627-2969,,,3706
4060,All Saints Catholic School,1,0,214-217-3300,214-217-3339,hfurton@allsaintsk8.org,,4360
4061,All Saints School,1,0,(513) 792-4732,(513) 792-7990,tfairbanks@allsaints.cc,,1053
4062,All Souls Catholic School,1,0,(407) 322-7090,(407) 321-7255,Rlindsay@allsoulscatholicschool.org,All Souls Catholic School,5001
4063,Allegany High School,2,0,(301) 777-8110,(301) 759-2534,james.bucy@acps.k12.md.us,,1375
4064,Alleman High School,1,0,309-786-7793,,boudromath112358@hotmail.com,,4305
4065,Alpha Elementary School,2,0,(423) 586-3332,(423) 585-3737,dgreene1@hcboe.net,,1741
4066,Alstott School,2,0,864-286-0020,,klpidcock@gmail.com,,4675
4067,Alta Loma Middle School,2,0,(650) 877-8797,,,,3677
4068,Alva Elementary School,2,0,(239) 728-2494,,,SD of Lee Co.,3381
4069,American Christian Academy,2,0,(918) 331-0500,(918) 331-0501,,,3760
4070,Amity Intermediate Center,2,0,(610) 689-6240,(610) 689-6265,pallas@dboone.k12.pa.us,Daniel Boone Business Office,3568
4071,Amity Middle School,2,0,203-392-3200,,eleanor.stephens@reg5.k12.ct.us,Amity Regional HS Dist. 5,4630
4072,Amity Middle School,2,0,203-392-3200,,Stephens,Ellie Stephens,4405
4073,Ancillae-Assumpta Academy,1,0,(215) 885-1636,(215) 885-2740,hpope@ancillae.org,,924
4074,Anderson Elementary School,2,0,(515) 967-7494,(515) 957-9099,julie_nash@bondurant.k12.ia.us,Bondurant-Farrar CSD,3292
4075,Andrews Elementary,2,0,843-264-3419,843-264-5511,mlambert@gcsd,k12.sc.us,
4076,Andrews Elementary,2,0,(843)264-3419,,ataylor@gcsd.k12.sc.us,Andrews Elementary School,4396
4077,Angelo Catholic School,1,0,325.949.1747,325.942.1547,bschroeder@angelocatholicschool.org,Lucy Thomas,4678
4078,Anna Merritt Elementary School,2,0,(716) 478-4725,(716) 478-4730,,Lockport CSD,3507
4079,Annistown Elementary,2,0,(770) 979-2950,(770) 736-4491,,,3006
4080,Ansonia School,2,0,(937) 337-4000,(937) 337-9520,,Ansonia LS,3305
4081,Antioch Community High School,2,0,847-838-7163,,jfarrell@sequoits.com,,4620
4082,Aquinas Academy,1,0,(724) 834-7940,(724) 836-0497,cderr@aquinasacademy.org,,1468
4083,Aquinas High School,1,0,608-784-0287,608-782-8851,jason.weber@aquinasschools.org,,4946
4084,Aquinas High School,1,0,706-736-5516,706-736-2678,tfeske@aquinashigh.org,,4410
4085,AR Lewis Elementary,2,0,(864) 868-9047,(864) 868-4016,,SD of Pickens Co.,925
4086,Aransas Pass High School,2,0,(361) 758-3248,(361) 758-3251,,Aransas Pass ISD,2596
4087,Archbishop Coleman Carroll High School,1,0,305-3886700,305-3884371,crodriguez@colemancarroll.org,Archbishop Coleman Carroll High School,4789
4088,Archbishop Hoban H.S,1,0,3307736658,,traxlerp@hoban.org,Rose Zaucha,4982
4089,Archbishop Hoban High School,2,0,3307736658,,kostkoj@hoban.org,Archbishop Hoban High School,4965
4090,Archbishop Hoban High School,1,0,(330) 773-6658,(330) 773-9100,zauchar@hoban.org,Archbishop Hoban High School,553
4091,Archbishop Molloy HS,1,0,(718)441-2100,(718)849-8251,asolari@molloyhs.org,,4372
4092,Archbishop Riordan High School,1,0,(415) 586-8200,(415) 587-1310,p.arrigotti@riordan.pvt.k12.ca.us,,478
4093,Archbishop Riordan HS,1,0,415-586-8200,415-587-1310,ovalverde@riordanhs.org,,4867
4094,Ascension,1,0,(502) 451-2535,(502) 451-2535,,,4156
4095,Ashley Chapel School,2,0,(910) 887-9797,(910) 887-8170,,Richmond County Schools,4146
4096,Assumption High School,1,0,(319) 326-5313,(319) 326-3510,,,317
4097,Assumption School,1,0,(440) 526-4877,(440) 526-3752,,,3248
4098,Athens Drive High School,2,0,(919) 233-4050,(919) 233-4082,pdanskin@wcpss.net,,1304
4099,Atlantic Shores,2,0,(759) 479-9598,(759) 479-5311,,,3231
4100,Augusta Middle School,2,0,(316) 775-6383,(316) 775-3853,,USD No. 402-Augusta,3594
4101,Augusta Preparatory Day School,2,0,(706) 863-6858,(706) 863-6198,,,3101
